"Note","Course","Module","Clip","Time in Clip","URL"
"Virtual Standup Meeting Notes","Introduction to Mongoose for Node.js and MongoDB","Course Introduction","Demo - Our Demo Application","1:19","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m1&clip=4&mode=live&start=79.252657&noteid=665c8cd4-d572-45b5-b6fd-dfa008730295"
"hibernate 3 is an implmentaion of JPA2 specification","Spring with JPA and Hibernate","Spring, the Java Persistence API (JPA), and Hibernate","History of JPA","2:44","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m1-intro&clip=4&mode=live&start=164.085094&noteid=fdb94dae-7a98-44e0-9b30-533e1504e225"
"JBoss have acquired hibernate","Spring with JPA and Hibernate","Spring, the Java Persistence API (JPA), and Hibernate","History of JPA","3:10","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m1-intro&clip=4&mode=live&start=190.726143&noteid=fc7117f1-9bad-4fde-8252-dce557ed6dec"
"JAVA_HOME='/jdk' , MAVEN_HOME=''","Maven Fundamentals","Introduction to Maven Fundamentals","Installation Best Practices","3:27","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=4&mode=live&start=207.652707&noteid=0e983bc1-1b3b-4c88-b77f-bd22a21a78d0"
"Path=%JAVA_HOME%\bin;%MAVEN_HOME\bin;","Maven Fundamentals","Introduction to Maven Fundamentals","Installation Best Practices","4:59","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=4&mode=live&start=299.250186&noteid=d373c65e-dfae-403f-bedf-9690d98cd532"
"cmd>mvn -version","Maven Fundamentals","Introduction to Maven Fundamentals","Installation Best Practices","5:55","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=4&mode=live&start=355.543524&noteid=c6bcef91-b55b-4397-a581-b17077d1d6e9"
"cross site scripting..","Learning To Program - Being A Better Programmer","Be A Better Programmer!","Summary","0:09","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=scott-allen&name=learning-program-better-programmer-m1-introduction&clip=5&mode=live&start=9.624658&noteid=cf1a5b35-1269-4767-a5e0-83fbd7c42b56"
"ODM -Object Document Mapper","Introduction to Mongoose for Node.js and MongoDB","Course Introduction","Summary","0:32","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m1&clip=5&mode=live&start=32.821901&noteid=92e69cc4-163d-4c8a-8b84-902feb45e82e"
"controller has to hit backend , which returns you model data.","Introduction to Spring MVC","Introduction","Request/Response Lifecycle","1:22","https://app.pluralsight.com/player?course=springmvc-intro&author=bryan-hansen&name=springmvc-m1-intro&clip=5&mode=live&start=82.702408&noteid=f7a7361d-03b2-46f6-8134-f22cd4b127ae"
"bracket extension delkos-dark-theme,bracket icons , snippets","Building Web Applications with Node.js and Express 4.0","Getting Started","Configuring Brackets","1:26","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m1&clip=5&mode=live&start=86.883721&noteid=25e2a0e3-838e-434c-9945-9f5593ccc6e8"
"pom - project object model /is an xml file","Maven Fundamentals","Introduction to Maven Fundamentals","Demo: Hello World","2:19","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=5&mode=live&start=139.758898&noteid=b098931e-f768-4099-8140-a06c1f759684"
"groupid is company name,aritactid is project name , version ,model version(xml schema version of)package is jar","Maven Fundamentals","Introduction to Maven Fundamentals","Demo: Hello World","4:09","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=5&mode=live&start=249.605193&noteid=cb92f941-c751-4f4f-88c2-dbfefcbeb72e"
"c\helloword>mvn clean","Maven Fundamentals","Introduction to Maven Fundamentals","Demo: Hello World","7:58","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=5&mode=live&start=478.246129&noteid=72dbe0a0-629d-43c1-bc22-361fe2fa9c48"
">mvn compile","Maven Fundamentals","Introduction to Maven Fundamentals","Demo: Hello World","8:21","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=5&mode=live&start=501.413058&noteid=682dd5cf-ee56-4bf3-81e2-51dba639425a"
"mvn package","Maven Fundamentals","Introduction to Maven Fundamentals","Demo: Hello World","9:17","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m1&clip=5&mode=live&start=557.426775&noteid=f08a53dd-b7d4-4b82-ab6d-48af6617e499"
"good example for sync and asyc with createstatement","Introduction to Node.js","Getting Started with Node.js","Node Conventions for Writing Asychronous Code","1:38","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m1-intro&clip=6&mode=live&start=98.840455&noteid=ca533e02-f3f7-4ef3-90d7-4819d9c6fe78"
"npm init..creates packge.json","Building Web Applications with Node.js and Express 4.0","Getting Started","Node Package Manager","1:54","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m1&clip=6&mode=live&start=114.686305&noteid=e0681188-3b49-45a0-ad28-8c1304fb3e41"
"callback can be named as handleResults","Introduction to Node.js","Getting Started with Node.js","Node Conventions for Writing Asychronous Code","3:04","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m1-intro&clip=6&mode=live&start=184.29144&noteid=a314ca67-745e-44ab-aec1-dd33a386cec7"
"anonymous functions and closures example.... anonymous function can make use of closure concept","Introduction to Node.js","Getting Started with Node.js","Node Conventions for Writing Asychronous Code","4:08","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m1-intro&clip=6&mode=live&start=248.904152&noteid=d4f6d971-6111-4533-995a-2cea1a863fa1"
"npm verions style : ^ (caret)  takes major upgrade but ~ (tilda) takes minor upgrade","Building Web Applications with Node.js and Express 4.0","Getting Started","Versioning Packages","0:22","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m1&clip=7&mode=live&start=22.378499&noteid=efb3ea6d-751c-42b8-8fb9-f04f10a854bd"
"content negotaiation is basically the media the client expects from ther server ...the client can request what kind of media it needs for example same page can be sedn in english or french based on client request . for programmers it would be like javascrpt code saying for json content and c++ code needing xml content..etc..","HTTP Fundamentals","HTTP Resources","Content Negotiation","1:38","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m1-resources&clip=7&mode=live&start=98.274701&noteid=846ec766-257d-41df-abf9-c8938c778579"
"you ask for html and french version but server will have only english version.. so teh client has to negotiate..  client will be little disappointed..","HTTP Fundamentals","HTTP Resources","Content Negotiation","2:08","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m1-resources&clip=7&mode=live&start=128.126855&noteid=75382009-105b-4c08-8485-cf2ab446088f"
"so if we request for html not necessary we get html we may get pdf or something else.. os its not the same thing..but kind of a negotiation.. so its not an ultimatum","HTTP Fundamentals","HTTP Resources","Content Negotiation","2:10","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m1-resources&clip=7&mode=live&start=130.833139&noteid=975ec1a0-9d7a-47b9-b009-ce7b11f17584"
"sessionmanagement or authentication to a group of actions . anythings that you can think of for a group of actions","Introduction to Struts 2","Introduction to Struts2","Vocabulary","2:45","https://app.pluralsight.com/player?course=struts2&author=john-sonmez&name=struts2-m1-intro&clip=7&mode=live&start=165.794027&noteid=a6660624-0b3f-48be-9b90-35d5aef272c1"
"version.major.minor ( 5.major.minor)","Building Web Applications with Node.js and Express 4.0","Getting Started","Versioning Packages","2:51","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m1&clip=7&mode=live&start=171.045389&noteid=c54c8888-7b55-4bb9-896b-cb4c4c713eda"
"interceptors are used for a group of actions","Introduction to Struts 2","Introduction to Struts2","Summary","0:00","https://app.pluralsight.com/player?course=struts2&author=john-sonmez&name=struts2-m1-intro&clip=8&mode=live&start=0&noteid=dbdab0f4-a9c2-4c3a-84e0-d2ecd0c78536"
"#why Angular :  Its faster , powerful , clean code , concept is less --> easy  http://angular2-first-look.azurewebsites.net","Angular 2: First Look","Angular 2 in Action","Angular","1:53","https://app.pluralsight.com/player?course=angular-2-first-look&author=john-papa&name=angular-2-first-look-m1&clip=0&mode=live&start=113.176571&noteid=a4497ada-570d-4018-acd4-007f96b8a8ec"
"differnece between a package and a module . Moudle is single js file , that has reusable functionality. A package is a directory which can have one or more modules . which have a package.json file have metada of the package.","NPM Playbook","NPM Basics","What Is a Package?","0:08","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=1&mode=live&start=8.038569&noteid=887baa9b-05c0-4711-8ca9-8d3417cb0dce"
"RxJS is one implementation of ReactiveX api . ReactiveX you can use in different platform..in different languages.. but RxJs is used for javascript .","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Reactive Programming","0:15","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=1&mode=live&start=15.290258&noteid=85b5872c-8c8f-41f7-b46e-ebb2d81089cf"
"https --> http over TLS or SSL : Transport Layer Security","Web API v2 Security","HTTP Security Primer","Transport Security","0:42","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m2-httpsecurity&clip=1&mode=live&start=42.410111&noteid=89f7a155-a0b5-4f94-823f-a0c9a4889500"
"airport analogy","HTTP Fundamentals","HTTP Messages","Message Types","0:45","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m2-messages&clip=1&mode=live&start=45.501839&noteid=eff70803-bba1-4d70-adcc-ab60bcd587f9"
"write a code  to wait for something to happen and react to that","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Reactive Programming","1:13","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=1&mode=live&start=73.441911&noteid=f5befbd7-f5c5-4daa-b20f-336768d64c9b"
"usally in production we use 80 or 443","Building Web Applications with Node.js and Express 4.0","Setting Up Express","Our First App","1:15","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m2&clip=1&mode=live&start=75.638448&noteid=c995e756-aa3a-4867-8d58-41508910696e"
"state basically mean that , service doesnot want to remember the previous request raised by the specific customer.","Microservices Architecture","Introduction","What Is a Service?","3:36","https://app.pluralsight.com/player?course=microservices-architecture&author=rag-dhiman&name=microservices-architecture-m1&clip=1&mode=live&start=216.346146&noteid=35f37b7b-97b8-4a21-9bf8-bfd9faa462a0"
"devops eliminate distractions..","DevOps Skills for Developers with Visual Studio and TFS 2017","DevOps: Focusing on What's Important","DevOps: What, Why, and Where?","4:08","https://app.pluralsight.com/player?course=devops-skills-developers-visual-studio-tfs-2017&author=ben-day&name=10b62608-f2e5-45c9-be5a-66ae1e5ae072&clip=1&mode=live&start=248.535723&noteid=c13fc269-54d2-4c43-a1c2-57c151b7c533"
"microservices is an improved version of SOA","Microservices Architecture","Introduction","What Is a Service?","4:17","https://app.pluralsight.com/player?course=microservices-architecture&author=rag-dhiman&name=microservices-architecture-m1&clip=1&mode=live&start=257.688573&noteid=533add2b-1bb0-458b-b661-538d1d942ad7"
"json view  chrome app","RESTful Web Services with Node.js and Express","Getting Data","Implementing HTTP Get","4:40","https://app.pluralsight.com/player?course=node-js-express-rest-web-services&author=jonathan-mills&name=node-js-express-rest-web-services-m2&clip=1&mode=live&start=280.226046&noteid=6e5433db-e0ad-4642-98b7-e7e5f0367cdb"
"dont make large gigantic releases..","DevOps Skills for Developers with Visual Studio and TFS 2017","DevOps: Focusing on What's Important","DevOps: What, Why, and Where?","7:16","https://app.pluralsight.com/player?course=devops-skills-developers-visual-studio-tfs-2017&author=ben-day&name=10b62608-f2e5-45c9-be5a-66ae1e5ae072&clip=1&mode=live&start=436.231593&noteid=51978146-5b09-4353-a3a1-a9e18421936a"
"make smaller releases..","DevOps Skills for Developers with Visual Studio and TFS 2017","DevOps: Focusing on What's Important","DevOps: What, Why, and Where?","7:32","https://app.pluralsight.com/player?course=devops-skills-developers-visual-studio-tfs-2017&author=ben-day&name=10b62608-f2e5-45c9-be5a-66ae1e5ae072&clip=1&mode=live&start=452.419953&noteid=220c1f46-054f-454b-a87a-6fd1c1a714ca"
"dont worry about build deployment ..","DevOps Skills for Developers with Visual Studio and TFS 2017","DevOps: Focusing on What's Important","DevOps: What, Why, and Where?","7:41","https://app.pluralsight.com/player?course=devops-skills-developers-visual-studio-tfs-2017&author=ben-day&name=10b62608-f2e5-45c9-be5a-66ae1e5ae072&clip=1&mode=live&start=461.856221&noteid=7007bcf2-c3f3-4916-8711-c73d3ae58662"
"ITOps responsible for deployment...","DevOps Skills for Developers with Visual Studio and TFS 2017","DevOps: Focusing on What's Important","DevOps: What, Why, and Where?","9:41","https://app.pluralsight.com/player?course=devops-skills-developers-visual-studio-tfs-2017&author=ben-day&name=10b62608-f2e5-45c9-be5a-66ae1e5ae072&clip=1&mode=live&start=581.40265&noteid=e96b10b1-4b5e-4d43-99b1-7e4acfb7dba4"
"constant connection between Dev+Ops --> automation tools for deployment","DevOps Skills for Developers with Visual Studio and TFS 2017","DevOps: Focusing on What's Important","DevOps: What, Why, and Where?","10:17","https://app.pluralsight.com/player?course=devops-skills-developers-visual-studio-tfs-2017&author=ben-day&name=10b62608-f2e5-45c9-be5a-66ae1e5ae072&clip=1&mode=live&start=617.995247&noteid=573206d2-d75a-4d4a-aa02-24b9d960e385"
"nodemon is changemonitoring and server restarting app","Introduction to Mongoose for Node.js and MongoDB","Setting Up the Demo Application","Helpful Tools","0:58","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m2&clip=2&mode=live&start=58.264355&noteid=fa393800-6b8d-4a08-b7b2-5198fd5dddbf"
"moongoose is like entity framework in .networld","RESTful Web Services with Node.js and Express","Getting Data","Wiring up to MongoDB and Mongoose","1:06","https://app.pluralsight.com/player?course=node-js-express-rest-web-services&author=jonathan-mills&name=node-js-express-rest-web-services-m2&clip=2&mode=live&start=66.903577&noteid=b0896a18-a3c7-4df3-9507-7cbb8b60fd8e"
"public key I can send data encrypted.. server can only decryp with the private key. the private key is with server . pubic key is in the certificate issued ","Web API v2 Security","HTTP Security Primer","X.509 Certificates","1:41","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m2-httpsecurity&clip=2&mode=live&start=101.277654&noteid=84473da5-9bb7-4b39-ae2d-774b3f6d1a2f"
"Snapshot vs release","Maven Fundamentals","Maven Structure","The pom.xml","1:46","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m2&clip=2&mode=live&start=106.734181&noteid=e9a15eb9-1e9c-471a-b5d7-c752888e0211"
"robomongo","Introduction to Mongoose for Node.js and MongoDB","Setting Up the Demo Application","Helpful Tools","1:58","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m2&clip=2&mode=live&start=118.301861&noteid=97f06f15-a2a3-45e3-81a7-7a73647a60a9"
"sql azure and appservices are examples of platform as a service","Introduction to Azure App Services","Azure App Services – the Overview","Azure App Services Overview","2:37","https://app.pluralsight.com/player?course=introduction-azure-app-services&author=barry-luijbregts&name=introduction-azure-app-services-m1&clip=2&mode=live&start=157.204393&noteid=01616c01-d29b-4fd7-94bd-14df70802189"
"vm is a infrastrcutre as service","Introduction to Azure App Services","Azure App Services – the Overview","Azure App Services Overview","2:52","https://app.pluralsight.com/player?course=introduction-azure-app-services&author=barry-luijbregts&name=introduction-azure-app-services-m1&clip=2&mode=live&start=172.518148&noteid=ec3775ce-48b3-42b4-b38c-93451aad9503"
"Platform as a service (PaaS)","Introduction to Azure App Services","Azure App Services – the Overview","Azure App Services Overview","3:05","https://app.pluralsight.com/player?course=introduction-azure-app-services&author=barry-luijbregts&name=introduction-azure-app-services-m1&clip=2&mode=live&start=185.595342&noteid=28234b08-54c8-427f-9d64-c1afe06841b9"
"URL Canonicalization --> search engine optimisation technique","HTTP Fundamentals","HTTP Messages","A Manual Request","4:21","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m2-messages&clip=2&mode=live&start=261.623617&noteid=33534bea-927b-4333-9011-34af4148357c"
"v8 is singlethreaded","Advanced Node.js","Node != JavaScript","Node's Architecture: V8 and libuv","4:36","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=2&mode=live&start=276.052201&noteid=180f9685-609c-46b4-a047-5d43afc4d006"
"programming in node is easy as we dont wnat to worry about race conditions and locking ..things..as v8 is single thraded.. asycn this are handled by libUV c libray and after completing it will return back to v8","Advanced Node.js","Node != JavaScript","Node's Architecture: V8 and libuv","4:49","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=2&mode=live&start=289.475165&noteid=9a4508db-b630-4ba1-bf9e-5aac38f1751b"
"LIBUV which abstract the non blocking operations..","Advanced Node.js","Node != JavaScript","Node's Architecture: V8 and libuv","5:03","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=2&mode=live&start=303.853341&noteid=cc12afd9-47a8-4706-93f4-eba27bd17275"
"libuv handles the eventloop","Advanced Node.js","Node != JavaScript","Node's Architecture: V8 and libuv","5:34","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=2&mode=live&start=334.09834&noteid=290e5749-c207-4e49-9dab-4757ecabcf59"
"theare can be internal/corporate remote repository for the company you working","Maven Fundamentals","Maven Structure","Dependencies","0:00","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m2&clip=3&mode=live&start=0&noteid=bc69b000-6ef7-4e1e-87bf-1da9c2fdcf2c"
"ssl handshake..","Web API v2 Security","HTTP Security Primer","SSL Handshake","0:12","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m2-httpsecurity&clip=3&mode=live&start=12.513734&noteid=ef29a5d1-1f5c-48b4-b719-dda5e64adb7a"
"Certifcate issued by : godbaddy and issued to :amazon like that","Web API v2 Security","HTTP Security Primer","SSL Handshake","0:42","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m2-httpsecurity&clip=3&mode=live&start=42.556519&noteid=501c4972-aef1-47ec-b0fc-2bdf212781b7"
"npm help (command you need) install this  wil open in browder install commands","NPM Playbook","NPM Basics","NPM Help","0:47","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=3&mode=live&start=47.047269&noteid=d6c30675-b033-4f7f-a232-ef6dd7f6c8d4"
"commonjs is the module format that the webpack understands.. common(web)","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Configuration and Setup","0:55","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=3&mode=live&start=55.294819&noteid=4f46a500-b84b-462a-9fe9-81b32c3e224c"
"BOM - Bill of Materials","Creating Your First Spring Boot Application","Creating Your First Spring Boot Project","Spring Boot Dependency Management","1:13","https://app.pluralsight.com/player?course=spring-boot-first-application&author=dan-bunker&name=spring-boot-first-application-m1&clip=3&mode=live&start=73.308221&noteid=8c46b34f-8da8-45a2-b6f2-eae1b0be22f5"
"Operating systems will have a set of issueers of certifcates like versign etc..","Web API v2 Security","HTTP Security Primer","SSL Handshake","1:18","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m2-httpsecurity&clip=3&mode=live&start=78.9708&noteid=76439fca-c290-49e9-ad44-f50b723e993c"
"express helpl","Introduction to Mongoose for Node.js and MongoDB","Setting Up the Demo Application","Demo","1:54","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m2&clip=3&mode=live&start=114.417686&noteid=0b683b11-45e3-42fe-b2a7-12537c2d62a9"
"express -h","Introduction to Mongoose for Node.js and MongoDB","Setting Up the Demo Application","Demo","1:54","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m2&clip=3&mode=live&start=114.417686&noteid=c991417c-d7fa-4f38-b080-7e5944476952"
"hobby projects..","Learning To Program - Being A Better Programmer","Learning Code","Writing and Teaching","5:04","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=3&mode=live&start=304.526728&noteid=1f2210e9-2963-4154-bc48-ddcfe40ceaea"
"blogs..","Learning To Program - Being A Better Programmer","Learning Code","Writing and Teaching","5:12","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=3&mode=live&start=312.972796&noteid=157b19bd-0b04-4dc7-9399-e5adec9b1864"
"C#Corner usergroups","Learning To Program - Being A Better Programmer","Learning Code","Writing and Teaching","5:19","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=3&mode=live&start=319.406837&noteid=19b1d44e-0c9a-417a-900c-fa04b34a303d"
"Nonprofit organizations needed softwares... charity apps..nonproift apps","Learning To Program - Being A Better Programmer","Learning Code","Writing and Teaching","5:24","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=3&mode=live&start=324.094953&noteid=1af8553c-aad0-4bc4-ace0-8a8b4d4eb4f9"
"if can't challenge yourself you can't grow..","Learning To Program - Being A Better Programmer","Learning Code","Writing and Teaching","6:49","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=3&mode=live&start=409.779047&noteid=0921d6fb-7a4e-47f2-aacf-e86edcdb6f04"
"safe methods  in http are get/ read only.. http post is unsafe.. send credit card information..","HTTP Fundamentals","HTTP Messages","Safe Methods","0:29","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m2-messages&clip=4&mode=live&start=29.267112&noteid=cd5989dd-01d7-43fa-870f-88adaf944c19"
"databases in the cloud can scale up with just a click of a button..","Developing with .NET on Microsoft Azure - Getting Started","Foundational Concepts","Microsoft Azure Platform Resources","0:36","https://app.pluralsight.com/player?course=developing-dotnet-microsoft-azure-getting-started&author=scott-allen&name=1b8fcbea-d126-4c9f-8b9e-94666032e40f&clip=4&mode=live&start=36.188331&noteid=2aae6187-6594-44e3-a058-566b290b05e8"
"module 13, automat deplyment to Heorku","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","0:48","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=48.900206&noteid=6220b2e6-da53-4abb-a0d5-92a657406743"
"Hero.. Heroku","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","1:01","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=61.930863&noteid=b5777820-b2f7-4db3-bb98-5fa9a86211c0"
"coding katas..","Learning To Program - Being A Better Programmer","Learning Code","Deliberate Practice","1:12","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=4&mode=live&start=72.352059&noteid=1baa4319-3751-47d5-ad3a-e446d9222700"
".gitignore for Node","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","1:35","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=95.141502&noteid=282b9176-d769-4e94-8a95-e6c8ce5c2e11"
"coding dojos..","Learning To Program - Being A Better Programmer","Learning Code","Deliberate Practice","1:49","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=4&mode=live&start=109.843712&noteid=88ee2b5b-bec9-4626-aab4-466e08ae5494"
